admin1,Jan_rain_min,Jan_rain_max,Jan_rain_mean,Jan_rain_count,Jan_rain_median,year,Feb_rain_min,Feb_rain_max,Feb_rain_mean,Feb_rain_median,Mar_rain_min,Mar_rain_max,Mar_rain_mean,Mar_rain_median,Apr_rain_min,Apr_rain_max,Apr_rain_mean,Apr_rain_median,May_rain_min,May_rain_max,May_rain_mean,May_rain_median,Jun_rain_min,Jun_rain_max,Jun_rain_mean,Jun_rain_median,Jul_rain_min,Jul_rain_max,Jul_rain_mean,Jul_rain_median,Aug_rain_min,Aug_rain_max,Aug_rain_mean,Aug_rain_median,Sep_rain_min,Sep_rain_max,Sep_rain_mean,Sep_rain_median,Oct_rain_min,Oct_rain_max,Oct_rain_mean,Oct_rain_median,Nov_rain_min,Nov_rain_max,Nov_rain_mean,Nov_rain_median,Dec_rain_min,Dec_rain_max,Dec_rain_mean,Dec_rain_median,silt_min,silt_max,silt_mean,silt_count,silt_median,bulkdensity_min,bulkdensity_max,bulkdensity_mean,bulkdensity_median,clay_min,clay_max,clay_mean,clay_median,harvested_area,production_mt,yield_mt_ha,value_ksh
Baringo,10.926025390625,111.66556549072266,45.47682756696429,420,43.49916076660156,2016.0,4.6205596923828125,32.93818664550781,12.030738467261905,10.197383880615234,19.350801467895508,84.70317840576172,44.77281436011905,42.249900817871094,71.38348388671875,372.80419921875,175.64341517857142,174.62017822265625,49.06072998046875,370.8166809082031,179.70083705357143,175.55178833007812,34.0433349609375,169.9564666748047,83.70845424107142,81.5627212524414,42.821266174316406,222.7670135498047,117.19676339285714,109.44950866699219,22.68034553527832,124.56507873535156,71.87559523809524,71.0849380493164,7.318535804748535,94.77027893066406,41.0970703125,33.20820617675781,0.9106484651565552,144.5020294189453,54.57288876488095,53.081016540527344,2.477696418762207,200.92503356933594,49.955850074404765,43.1749153137207,4.908681869506836,28.826961517333984,13.800733584449405,12.838212966918945,16.0,42.0,26.093247715615565,151682,26.0,931.0,1540.0,1241.4308883057977,1230.0,18.0,60.0,35.2150090320539,35.0,,,,
Bomet,81.86338806152344,140.27284240722656,115.4881591796875,112,115.23365783691406,2016.0,24.012340545654297,94.51240539550781,45.005279541015625,44.2613525390625,82.84764862060547,153.42868041992188,112.42269461495536,113.89923095703125,216.6385498046875,431.14190673828125,307.09995814732144,311.67816162109375,118.91919708251953,372.0655517578125,242.34650530133928,262.16510009765625,47.78716278076172,184.0415496826172,101.72478376116071,97.68421936035156,32.784584045410156,199.239013671875,92.3558349609375,78.74173736572266,44.69324493408203,139.31675720214844,77.41314697265625,71.81439208984375,62.293113708496094,180.07473754882812,120.47251674107143,124.41944885253906,50.430450439453125,155.57821655273438,98.01543317522321,95.33080291748047,95.3145523071289,200.99771118164062,138.41360909598214,138.47262573242188,19.067726135253906,65.86598205566406,31.809210641043528,28.55949592590332,17.0,36.0,26.432650136161673,34885,27.0,883.0,1370.0,1152.181854665329,1150.0,25.0,51.0,38.391772968324496,38.0,,,,
Bungoma,39.14207458496094,107.258544921875,68.93165531015038,133,70.8119125366211,2016.0,11.14904499053955,35.06508255004883,24.80974836994831,25.929304122924805,68.58859252929688,127.662109375,87.45113516212406,85.66727447509766,250.70960998535156,439.26947021484375,340.79746240601503,337.0998229980469,146.64796447753906,304.33734130859375,214.57117892387217,215.64256286621094,106.54914855957031,185.82313537597656,137.41147791353384,139.5412139892578,114.834716796875,214.31161499023438,164.2383399906015,168.4795379638672,77.11524963378906,124.55137634277344,98.7260118068609,98.18894958496094,86.90731048583984,135.1419677734375,107.13055098684211,107.14968872070312,67.98975372314453,189.0362091064453,117.98762041823308,110.93424224853516,26.342517852783203,136.638671875,89.74616717575188,94.79531860351562,6.000257968902588,20.67046356201172,13.27353570694314,13.293245315551758,17.0,37.0,24.603157992651504,43002,24.0,807.0,1300.0,1124.9254453281242,1130.0,22.0,50.0,38.55492767778243,39.0,,,,
Busia,69.07085418701172,130.79574584960938,87.25304066051136,88,86.4215087890625,2016.0,11.856317520141602,40.33006286621094,25.23648626154119,25.816612243652344,59.903358459472656,106.07354736328125,82.8535489169034,85.6953125,306.6146240234375,450.48614501953125,378.8045099431818,382.8345642089844,151.15638732910156,311.35223388671875,218.05615234375,215.14138793945312,39.52614212036133,162.97694396972656,116.98542924360795,128.6463165283203,16.406143188476562,129.4159698486328,76.2436356977983,78.4358901977539,20.530223846435547,100.48418426513672,70.56282737038352,79.48393249511719,42.967437744140625,126.19306182861328,99.52314897017045,103.71039581298828,46.951316833496094,114.75394439697266,89.32539506392045,91.80099487304688,80.73568725585938,197.63731384277344,128.666748046875,127.69879150390625,12.222492218017578,28.897754669189453,20.23172274502841,20.362886428833008,12.0,33.0,22.26631745239877,24054,22.0,1030.0,1390.0,1224.4425043651784,1220.0,22.0,55.0,39.84692774590505,40.0,,,,
Elgeyo-Marakwet,23.985729217529297,115.40159606933594,55.42899521083048,146,47.93106460571289,2016.0,5.605574607849121,25.992551803588867,15.318864378210616,15.708768844604492,29.00236701965332,98.49231719970703,62.14498608732877,61.0433235168457,190.21932983398438,377.8648376464844,266.5132973030822,269.2181396484375,130.64764404296875,370.8166809082031,243.1107395119863,243.7323455810547,68.02900695800781,178.00955200195312,122.1048667594178,117.0120849609375,78.20565032958984,217.04620361328125,155.05850010702054,153.78298950195312,46.552894592285156,140.59722900390625,74.97634845890411,73.61280822753906,24.94498634338379,125.71603393554688,63.46378692208904,64.26972961425781,39.97638702392578,194.76585388183594,101.38176236087328,99.39521026611328,19.54962730407715,137.7962188720703,62.32757651969178,59.01904296875,8.564285278320312,21.180198669433594,13.46296169333262,12.880292892456055,15.0,36.0,25.891243790333814,43078,26.0,888.0,1500.0,1175.9268304006685,1160.0,21.0,55.0,38.09206555550397,38.0,,,,
Embu,18.5186767578125,116.13664245605469,49.87252530184659,132,45.25676345825195,2016.0,10.266754150390625,52.20119094848633,18.76993075284091,15.76719856262207,33.73961639404297,106.76870727539062,50.99897904829545,48.69407272338867,198.30140686035156,387.8860168457031,298.35617897727275,292.62615966796875,45.02775955200195,161.0020294189453,85.97130977746212,78.45038604736328,1.4331648349761963,67.87806701660156,14.855244954427084,9.976433753967285,1.560643196105957,53.79816818237305,13.695305101799242,9.151288032531738,1.0386087894439697,87.41001892089844,18.20706084280303,12.136375427246094,1.0157535076141357,70.04740905761719,14.026945171934186,8.36486530303955,16.817651748657227,76.6181640625,34.44605232007576,30.965320587158203,177.4351348876953,417.2054138183594,301.10227272727275,315.93231201171875,18.67900276184082,46.915077209472656,31.152979995265152,31.26247215270996,11.0,39.0,19.604128764908026,39576,18.0,742.0,1440.0,1198.5445724681624,1230.0,12.0,66.0,39.14913078633515,38.0,,,,
Garissa,0.5309956073760986,34.86604309082031,11.229665355141726,1517,8.752555847167969,2016.0,0.4732179641723633,15.062675476074219,8.05467977504944,7.887689590454102,3.9763691425323486,22.132265090942383,14.184198871127224,14.26717758178711,14.943727493286133,153.8104705810547,81.98379305372445,79.605224609375,0.862771213054657,293.8664855957031,53.97305022247858,16.529678344726562,4.390778407525886e-09,94.10325622558594,18.757386340227423,3.200599431991577,0.0,38.62482833862305,13.967834593358603,12.40302848815918,1.4097860656647754e-08,39.40873718261719,7.38989370468029,3.465167760848999,0.3742801547050476,28.93000030517578,11.434524606542519,11.29233169555664,1.4774034023284912,20.889163970947266,10.380515614700066,10.967129707336426,11.759576797485352,277.5066833496094,156.4705833882663,161.25186157226562,7.347105026245117,69.175048828125,28.331894775873433,27.32316780090332,8.0,33.0,20.522703180212016,611280,21.0,1260.0,1630.0,1406.4904593639576,1410.0,13.0,50.0,30.81391179165031,31.0,,,,
Homa Bay,42.65998458862305,139.7286834716797,74.2551379946608,199,72.15143585205078,2016.0,12.089617729187012,48.60205841064453,27.625296894629397,27.990211486816406,48.52519989013672,145.85841369628906,82.57679020100502,81.3935546875,231.72914123535156,524.7288818359375,327.44474324748745,324.5367126464844,97.61387634277344,249.03121948242188,166.6595084798995,166.54397583007812,19.401716232299805,101.61085510253906,48.59826966865578,44.030616760253906,8.990089416503906,108.1654052734375,41.64928156407035,31.922260284423828,16.01356315612793,90.77763366699219,42.141743875628144,35.00947952270508,36.33198165893555,154.2249755859375,81.31030150753769,75.00931549072266,26.459564208984375,124.55239868164062,75.53414533605527,76.55736541748047,35.62934494018555,238.5633087158203,124.11065091080403,123.46694946289062,17.033082962036133,41.07384490966797,27.09619385992462,26.351749420166016,14.0,35.0,23.921964011212587,44236,24.0,935.0,1380.0,1216.9038791934172,1220.0,17.0,55.0,39.02210868975495,40.0,,,,
Isiolo,6.7784953117370605,64.36233520507812,21.023722972528915,951,19.489837646484375,2016.0,5.396686553955078,29.106658935546875,9.766303767415877,9.027693748474121,3.881561517715454,62.36330795288086,14.263778670478445,10.222528457641602,28.070005416870117,240.884521484375,87.52349500525763,74.61216735839844,6.634058952331543,66.73304748535156,22.20837440851735,18.199447631835938,4.742922499190172e-09,32.498085021972656,1.4164820850584912,0.2184135466814041,0.0,18.866649627685547,1.7596757730349633,1.785516623442618e-08,0.0,15.619670867919922,0.9168003535546464,5.5355034334070297e-08,3.182976104909585e-09,6.272966384887695,1.178300827459582,0.9582064151763916,0.29734253883361816,38.32952880859375,11.65173686415615,10.529240608215332,8.682480812072754,305.544189453125,94.70004436119874,68.4626235961914,7.9553303718566895,60.08740234375,25.51105333201893,23.968036651611328,8.0,33.0,19.361609120630774,356642,19.0,1040.0,1610.0,1423.045137701112,1440.0,13.0,56.0,30.46520880883351,30.0,,,,
Kajiado,32.4011116027832,203.0032196044922,93.76528405548629,802,92.66143035888672,2016.0,10.512715339660645,57.297523498535156,24.14261709008728,24.460020065307617,24.60533905029297,96.50991821289062,55.76990628896509,55.8463020324707,99.04529571533203,311.9409484863281,164.7232699501247,159.29727172851562,3.2754721641540527,184.8368377685547,53.06161354426434,50.37934494018555,0.11068007349967957,39.96017074584961,8.398315734102244,7.408381938934326,1.0754042989447044e-08,22.298635482788086,1.664048344714386,0.476676881313324,0.0,36.26170349121094,4.230839831573411,2.1842904090881348,6.504255800621195e-09,32.29479217529297,3.411842707683915,1.7811400890350342,1.2765288352966309,48.983795166015625,18.42050026301434,17.978275299072266,49.967994689941406,212.9678192138672,114.99735037406484,111.42057037353516,11.152233123779297,91.79559326171875,32.65909445137157,27.035354614257812,10.0,48.0,21.302904619254896,302105,21.0,896.0,1580.0,1297.289353039506,1310.0,11.0,57.0,34.86176660432631,34.0,,,,
